id,file,scene,speaker,est_sec,text,tts_reading
S01_00_akari,voice/final/S01_00_akari.wav,S01 HOOK,燈,2.4,こんにちは、燈です。,こんにちは、あかりです。
S01_01_akari,voice/final/S01_01_akari.wav,S01 HOOK,燈,4.2,今日、大家さんにとってかなり重要な変化が始まりました。,今日、おおやさんにとってかなり重要な変化が始まりました。
S01_02_akari,voice/final/S01_02_akari.wav,S01 HOOK,燈,5.0,日銀の政策金利が、1.25％程度へ引き上げられました。,にちぎんの政策金利が、いってんにーごパーセント程度へ引き上げられました。
S01_03_akari,voice/final/S01_03_akari.wav,S01 HOOK,燈,3.9,では、不動産投資はこれから厳しくなるのでしょうか。,では、不動産投資はこれから厳しくなるのでしょうか。
S01_04_akari,voice/final/S01_04_akari.wav,S01 HOOK,燈,4.4,今日は、大家が見るべき3つの数字に絞って解説します。,今日は、おおやが見るべきみっつの数字に絞って解説します。
S02_00_akari,voice/final/S02_00_akari.wav,S02 何が起きたか,燈,18.6,日本銀行は9月18日の金融政策決定会合で、無担保コールレート、オーバーナイト物を1.25％程度で推移するよう促すことを決定しました。,日本銀行はくがつじゅうはちにちの金融政策決定会合で、無担保コールレート、オーバーナイト物をいってんにーごパーセント程度で推移するよう促すことを決定しました。
S02_01_akari,voice/final/S02_01_akari.wav,S02 何が起きたか,燈,5.0,それまでの1.0％程度から、0.25ポイントの引き上げです。,それまでのいってんれいパーセント程度から、れいてんにーごポイントの引き上げです。
S02_02_akari,voice/final/S02_02_akari.wav,S02 何が起きたか,燈,4.7,新しい金利水準は、9月24日から適用されます。,新しい金利水準は、くがつにじゅうよっかから適用されます。
S03_00_akari,voice/final/S03_00_akari.wav,S03 ここを勘違いしない,燈,3.0,ただし、ここはとても大切です。,ただし、ここはとても大切です。
S03_01_akari,voice/final/S03_01_akari.wav,S03 ここを勘違いしない,燈,10.5,日銀の政策金利が0.25ポイント上がったからといって、大家さんが借りている不動産融資の金利が、その日に一律0.25ポイント上がるわけではありません。,にちぎんの政策金利がれいてんにーごポイント上がったからといって、おおやさんが借りている不動産融資の金利が、その日に一律れいてんにーごポイント上がるわけではありません。
S03_02_akari,voice/final/S03_02_akari.wav,S03 ここを勘違いしない,燈,6.7,金融機関、商品、固定か変動か、金利の見直し条件によって影響は違います。,金融機関、商品、固定か変動か、金利の見直し条件によって影響は違います。
S03_03_akari,voice/final/S03_03_akari.wav,S03 ここを勘違いしない,燈,9.7,ですから大家が見るべきなのは、ニュースの金利そのものではありません。自分の借入に、いくら影響するのか。ここです。,ですからおおやが見るべきなのは、ニュースの金利そのものではありません。自分のかりいれに、いくら影響するのか。ここです。
S04_00_akari,voice/final/S04_00_akari.wav,S04 見るべき数字① 年間返済額,燈,6.3,例えば、1億円を30年間、元利均等返済で借りたケースを考えてみます。,例えば、いちおくえんをさんじゅうねん間、元利均等返済で借りたケースを考えてみます。
